순위,제목,저자,출판사,출간일,가격
1,소년이 온다,한강,창비,2014년 05월,"13,500"
2,채식주의자,한강,창비,2022년 03월,"13,500"
3,작별하지 않는다,한강,문학동네,2021년 09월,"15,120"
4,서랍에 저녁을 넣어 두었다,한강,문학과지성사,2013년 11월,"10,800"
5,흰,한강,문학동네,2018년 04월,"13,050"
6,세이노의 가르침,세이노(SayNo),데이원,2023년 03월,"6,480"
7,마흔에 읽는 쇼펜하우어 (200쇄 기념 확장판),강용수,유노북스,2023년 09월,"15,300"
8,희랍어 시간,한강,문학동네,2011년 11월,"11,700"
9,모순,양귀자,쓰다,2013년 04월,"11,700"
10,언젠가 우리가 같은 별을 바라본다면,차인표,해결책,2021년 12월,"10,800"
11,돈의 심리학 (30만 부 기념 스페셜 에디션),모건 하우절,인플루엔셜,2021년 01월,"17,820"
12,퓨처 셀프,벤저민 하디,상상스퀘어,2023년 08월,"17,820"
13,긴긴밤,루리,문학동네,2021년 02월,"10,350"
14,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),데일 카네기,현대지성,2019년 10월,"10,350"
15,남에게 보여주려고 인생을 낭비하지 마라,아르투어 쇼펜하우어,페이지2북스,2023년 10월,"15,750"
16,트렌드 코리아 2024,김난도,미래의창,2023년 10월,"17,100"
17,생각이 너무 많은 어른들을 위한 심리학,김혜남,메이븐,2023년 09월,"16,020"
18,최소한의 한국사,최태성,프런트페이지,2023년 06월,"16,200"
19,당신의 인생이 왜 힘들지 않아야 한다고 생각하십니까,아르투어 쇼펜하우어,포레스트북스,2023년 06월,"15,750"
20,돈의 속성 300쇄 리커버,김승호,스노우폭스북스,2020년 06월,"16,020"
21,만화로 보는 3분 철학 1,김재훈,카시오페아,2021년 07월,"14,400"
22,코스모스,칼 에드워드 세이건,사이언스북스,2006년 12월,"17,910"
23,ETS 토익기출 파트별 VOCA 보카,ETS,YBM(와이비엠),2022년 12월,"11,700"
24,해커스 토익 RC Reading(리딩) 기본서,David Cho,해커스어학연구소,2023년 07월,"16,920"
